system:time_start,Yanco,Sturt_Plains
"May 1, 2013",2,6
"May 5, 2013",2,6
"May 9, 2013",1,5
"May 13, 2013",1,4
"May 17, 2013",2,5
"May 21, 2013",2,4
"May 25, 2013",2,5
"May 29, 2013",2,5
"Jun 2, 2013",2,4
"Jun 6, 2013",3,3
"Jun 10, 2013",2,3
"Jun 14, 2013",3,3
"Jun 18, 2013",3,3
"Jun 22, 2013",3,3
"Jun 26, 2013",3,3
"Jun 30, 2013",3,3
"Jul 4, 2013",3,3
"Jul 8, 2013",3,3
"Jul 12, 2013",4,3
"Jul 16, 2013",3,3
"Jul 20, 2013",5,3
"Jul 24, 2013",7,3
"Jul 28, 2013",6,2
"Aug 1, 2013",7,3
"Aug 5, 2013",9,2
"Aug 9, 2013",10,2
"Aug 13, 2013",10,3
"Aug 17, 2013",9,2
"Aug 21, 2013",3,2
"Aug 25, 2013",10,2
"Aug 29, 2013",9,2
"Sep 2, 2013",10,3
"Sep 6, 2013",10,3
"Sep 10, 2013",10,3
"Sep 14, 2013",10,3
"Sep 18, 2013",13,2
"Sep 22, 2013",10,2
"Sep 26, 2013",12,2
"Sep 30, 2013",10,3
"Oct 4, 2013",10,2
"Oct 8, 2013",8,2
"Oct 12, 2013",7,2
"Oct 16, 2013",6,2
"Oct 20, 2013",5,2
"Oct 24, 2013",5,2
"Oct 28, 2013",5,2
"Nov 1, 2013",4,2
"Nov 5, 2013",4,2
"Nov 9, 2013",3,2
"Nov 13, 2013",3,2
"Nov 17, 2013",3,2
"Nov 21, 2013",2,2
"Nov 25, 2013",2,2
"Nov 29, 2013",2,2
"Dec 3, 2013",2,3
"Dec 7, 2013",3,4
"Dec 11, 2013",3,4
"Dec 15, 2013",2,4
"Dec 19, 2013",2,5
"Dec 23, 2013",3,2
"Dec 27, 2013",2,5
"Dec 31, 2013",2,5
"Jan 1, 2014",2,5
"Jan 5, 2014",3,4
"Jan 9, 2014",2,3
"Jan 13, 2014",2,3
"Jan 17, 2014",2,3
"Jan 21, 2014",2,7
"Jan 25, 2014",3,4
"Jan 29, 2014",2,10
"Feb 2, 2014",7,7
"Feb 6, 2014",2,7
"Feb 10, 2014",2,7
"Feb 14, 2014",3,9
"Feb 18, 2014",2,10
"Feb 22, 2014",2,8
"Feb 26, 2014",2,6
"Mar 2, 2014",2,7
"Mar 6, 2014",2,7
"Mar 10, 2014",3,8
"Mar 14, 2014",2,7
"Mar 18, 2014",2,7
"Mar 22, 2014",2,10
"Mar 26, 2014",1,9
"Mar 30, 2014",2,7
"Apr 3, 2014",2,9
"Apr 7, 2014",3,11
"Apr 11, 2014",5,10
"Apr 15, 2014",6,10
"Apr 19, 2014",7,8
"Apr 23, 2014",6,9
"Apr 27, 2014",6,9
"May 1, 2014",6,7
"May 5, 2014",7,7
"May 9, 2014",6,7
"May 13, 2014",7,7
"May 17, 2014",6,6
"May 21, 2014",6,6
"May 25, 2014",7,5
"May 29, 2014",7,5
"Jun 2, 2014",10,4
"Jun 6, 2014",10,3
"Jun 10, 2014",9,5
"Jun 14, 2014",10,3
"Jun 18, 2014",10,4
"Jun 22, 2014",7,4
"Jun 26, 2014",12,4
"Jun 30, 2014",10,4
"Jul 4, 2014",11,4
"Jul 8, 2014",14,3
"Jul 12, 2014",11,3
"Jul 16, 2014",11,3
"Jul 20, 2014",10,3
"Jul 24, 2014",8,3
"Jul 28, 2014",10,3
"Aug 1, 2014",10,3
"Aug 5, 2014",11,3
"Aug 9, 2014",9,3
"Aug 13, 2014",9,4
"Aug 17, 2014",7,3
"Aug 21, 2014",7,3
"Aug 25, 2014",8,3
"Aug 29, 2014",7,2
"Sep 2, 2014",10,3
"Sep 6, 2014",6,3
"Sep 10, 2014",7,3
"Sep 14, 2014",7,3
"Sep 18, 2014",7,2
"Sep 22, 2014",6,3
"Sep 26, 2014",7,3
"Sep 30, 2014",7,3
"Oct 4, 2014",5,3
"Oct 8, 2014",5,3
"Oct 12, 2014",4,2
"Oct 16, 2014",5,3
"Oct 20, 2014",4,3
"Oct 24, 2014",3,3
"Oct 28, 2014",3,2
"Nov 1, 2014",4,3
"Nov 5, 2014",2,2
"Nov 9, 2014",3,3
"Nov 13, 2014",2,3
"Nov 17, 2014",2,3
"Nov 21, 2014",2,2
"Nov 25, 2014",3,2
"Nov 29, 2014",2,2
"Dec 3, 2014",2,2
"Dec 7, 2014",2,3
"Dec 11, 2014",2,3
"Dec 15, 2014",3,5
"Dec 19, 2014",2,3
"Dec 23, 2014",3,3
"Dec 27, 2014",2,9
"Dec 31, 2014",2,2
"Jan 1, 2015",2,2
"Jan 5, 2015",2,2
"Jan 9, 2015",1,7
"Jan 13, 2015",2,10
"Jan 17, 2015",2,6
"Jan 21, 2015",2,8
"Jan 25, 2015",2,7
"Jan 29, 2015",2,8
"Feb 2, 2015",2,9
"Feb 6, 2015",2,8
"Feb 10, 2015",2,11
"Feb 14, 2015",2,11
"Feb 18, 2015",2,8
"Feb 22, 2015",5,12
"Feb 26, 2015",3,6
"Mar 2, 2015",3,13
"Mar 6, 2015",2,13
"Mar 10, 2015",2,11
"Mar 14, 2015",2,7
"Mar 18, 2015",2,8
"Mar 22, 2015",2,8
"Mar 26, 2015",2,7
"Mar 30, 2015",2,5
"Apr 3, 2015",2,6
"Apr 7, 2015",2,5
"Apr 11, 2015",2,5
"Apr 15, 2015",2,5
