#year,doy,tair,rain,tsoil,tam,tpm,tmin,tmax,tday,vpd_am,vpd_pm,co2,ndep,nfix,wind,pres,wind_am,wind_pm,par_am,par_pm
2019,121,17.6285069444444,0,17.6285069444444,16.4938888888889,22.7945833333333,12.49,24.38,17.7495964125561,0.237949907690543,0.908791984585247,400,0,0,0.263663194444444,101,0.0657361111111111,0.987305555555556,1.3719890809628,2.09917129102845
2019,122,18.9882638888889,0,18.9882638888889,18.8254166666667,23.5952777777778,14.94,24.81,19.1018376068376,0.377025868124412,0.886014444907973,400,0,0,0.157003472222222,101,0.159402777777778,0.46775,1.83105374179431,1.36585713347921
2019,123,18.1455208333333,10.4,18.1455208333333,18.9530555555556,19.2626388888889,14.69,21.95,18.1011946902655,0.241961750869672,0.122796785152654,400,0,0,0.07765625,101,0.0884166666666667,0.191166666666667,0.66813886214442,0.410346105032823
2019,124,17.5679513888889,1.2,17.5679513888889,17.33625,21.1898611111111,10.98,22.75,17.7502892561983,0.378383849357481,1.47522550194148,400,0,0,0.481916666666667,101,0.336944444444444,1.35609722222222,2.31204833698031,2.73059330415755
2019,125,13.6713055555556,0,13.6713055555556,14.6841388888889,18.3709722222222,7.744,21.1,14.8403505154639,0.638109745609382,0.979958057154534,400,0,0,0.9005,101,1.81043055555556,1.76275,2.76521126914661,1.94970420131291
2019,126,13.9044097222222,0,13.9044097222222,14.8947222222222,19.8515277777778,8.11,21.43,14.5423111111111,0.651058155240937,1.25337070120971,400,0,0,0.536069444444444,101,1.06568055555556,1.05322222222222,2.90783415754923,3.09185960612691
2019,127,12.8814895833333,0,12.8814895833333,10.8669305555556,21.6518055555556,3.562,23.51,13.0043811659193,0.310824327235939,1.68664058239646,400,0,0,0.488333333333333,101,0.146125,1.72054166666667,3.06652719912473,3.04540805251641
2019,128,13.2707604166667,0,13.2707604166667,16.0125,19.2130555555556,5.715,20.72,14.0246637168142,0.881665551413021,1.41718573860508,400,0,0,1.71261805555556,101,2.84777777777778,3.58988888888889,3.03162571115974,2.65340835886214
2019,129,11.4095555555556,0,11.4095555555556,10.4230694444444,19.4815277777778,2.873,21.06,13.4411015228426,0.419028959864462,1.28052139666553,400,0,0,0.413590277777778,101,0.274652777777778,1.36263888888889,3.01665728665208,2.8054070678337
2019,130,11.6129618055556,0,11.6129618055556,10.1331388888889,17.1306944444444,5.64,20.36,12.1536137339056,0.202679325141023,0.934983543579589,400,0,0,0.690413194444444,101,0.0656666666666667,1.75390277777778,0.961474857768052,1.82232584245077
2019,131,13.6414895833333,0.2,13.6414895833333,14.4244027777778,20.1852777777778,5.942,21.82,14.7628251121076,0.833540147003375,1.49315986798383,400,0,0,1.261375,101,1.84008333333333,2.71236111111111,2.87000212253829,2.80091310722101
2019,132,11.7057361111111,0,11.7057361111111,10.5801111111111,19.9631944444444,2.729,21.73,15.2584649681529,0.428452952281965,1.31973697291231,400,0,0,0.260131944444444,101,0.299277777777778,0.714361111111111,2.92819221006565,2.88585551422319
2019,133,13.1461909722222,0,13.1461909722222,10.6859027777778,21.2088888888889,3.615,22.68,15.7182156862745,0.305160944019048,1.03131497991183,400,0,0,0.00736805555555556,101,0.00194444444444444,0.00283333333333333,2.87046380743982,2.24723599562363
2019,134,14.7583611111111,0,14.7583611111111,13.6958055555556,22.3466666666667,7.376,24.38,17.499119047619,0.4368016397126,1.64216198355076,400,0,0,0.309104166666667,101,0.383833333333333,0.826333333333333,2.89245078774617,2.82258932166302
2019,135,13.3421180555556,0,13.3421180555556,12.4069722222222,21.0451388888889,5.923,23.1,16.7022549019608,0.317921341156068,1.21810585888038,400,0,0,0.165201388888889,101,0.00147222222222222,0.655486111111111,2.81191687089715,2.79981984682713
2019,136,13.6930763888889,0,13.6930763888889,12.2283333333333,20.9520833333333,5.775,22.59,16.43998125,0.263559643489188,1.08942356765421,400,0,0,0.271253472222222,101,0.132763888888889,0.943736111111111,2.47810923413567,2.6070456892779
2019,137,13.7353611111111,0,13.7353611111111,12.209875,20.6636111111111,6.255,22.67,16.2755842696629,0.282681285013688,0.96383107171656,400,0,0,0.00105208333333333,101,0.00320833333333333,0.01,2.56588811816192,2.09483087527352
2019,138,14.780875,0,14.780875,13.5252638888889,21.2966666666667,7.692,23.03,16.9366387434555,0.272385089379008,0.939781419974649,400,0,0,0.180833333333333,101,0.167541666666667,0.548888888888889,2.51243310722101,2.42534835886214
2019,139,16.2223958333333,0,16.2223958333333,16.3019444444444,21.5729166666667,11.92,23.56,17.0745089285714,0.348091133006471,1.0849638653004,400,0,0,0.249305555555556,101,0.218611111111111,0.778180555555556,2.41382730853392,2.53100231947484
2019,140,14.4542881944444,0,14.4542881944444,13.0572222222222,21.16125,7.985,23.23,16.757816091954,0.192165864834531,0.856369453365896,400,0,0,0.0512916666666667,101,0.0487777777777778,0.155416666666667,2.17294726477024,2.06617056892779
2019,141,16.1124965277778,0,16.1124965277778,13.3529166666667,24.8761111111111,7.014,27.07,18.8563005181347,0.333103860279732,1.74733185813919,400,0,0,0.360295138888889,101,0.251888888888889,1.13793055555556,2.46009735229759,2.45971870897155
2019,142,15.9389930555556,0,15.9389930555556,13.9861111111111,22.8379166666667,8.79,24.8,17.6237378640777,0.329842567039537,1.25790144231919,400,0,0,0.00286458333333333,101,0.00401388888888889,0.00461111111111111,1.92596671772429,2.28207433260394
2019,143,16.9479166666667,0.8,16.9479166666667,16.4565277777778,22.0658333333333,11.13,23.61,17.8199559471366,0.314261363931989,0.987973771959562,400,0,0,0.211947916666667,101,0.003375,0.831277777777778,2.21815234135667,2.16477485776805
